,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes
547,mobile,ended,1.0,390.0
548,mobile,ended,-20.0,
549,mobile,ended,-17.0,
550,connect,ended,-154.0,
551,mobile,canceled,,
552,mobile,ended,,
553,mobile,ended,-53.0,
554,mobile,canceled,,
555,mobile,ended,300.0,
556,mobile,ended,-25.0,
557,mobile,ended,-15.0,120.0
558,connect,ended,9.0,
559,mobile,canceled,,
560,mobile,ended,22.0,
561,mobile,canceled,,
562,mobile,canceled,,
563,mobile,ended,28.0,
564,mobile,ended,106.0,
565,mobile,canceled,,
566,mobile,ended,3.0,
567,mobile,canceled,,
568,mobile,ended,10.0,360.0
569,mobile,canceled,,
570,mobile,ended,-169.0,
571,mobile,ended,-67.0,
572,mobile,ended,-101.0,
573,mobile,ended,14.0,
575,mobile,ended,-19.0,
576,mobile,ended,0.0,
577,connect,canceled,,
578,mobile,ended,,
579,mobile,ended,9.0,
580,mobile,canceled,,
581,mobile,ended,1110.0,
582,mobile,ended,-54.0,
583,connect,ended,0.0,
584,mobile,ended,-138.0,
585,mobile,ended,38.0,
586,mobile,canceled,,
587,mobile,ended,6.0,
588,connect,ended,82.0,
589,mobile,ended,-10.0,
590,mobile,ended,-16.0,
591,mobile,ended,107.0,
592,mobile,ended,49.0,
593,mobile,ended,32.0,
594,connect,canceled,,
595,mobile,canceled,,
596,mobile,ended,142.0,
597,mobile,ended,44.0,
598,mobile,ended,48.0,
599,mobile,ended,-97.0,
600,connect,ended,58.0,
601,mobile,ended,25.0,
602,connect,ended,-651.0,570.0
603,mobile,ended,66.0,
604,mobile,ended,243.0,
605,connect,ended,-73.0,
606,mobile,ended,16.0,
607,mobile,ended,349.0,
608,connect,ended,-44.0,
609,mobile,ended,28.0,
610,mobile,canceled,,
611,mobile,ended,27.0,150.0
612,mobile,ended,41.0,
613,connect,ended,-425.0,240.0
614,mobile,canceled,,
615,mobile,ended,-35.0,
616,connect,ended,-125.0,
617,mobile,ended,59.0,
618,mobile,ended,100.0,
619,connect,ended,-353.0,
620,mobile,ended,-29.0,
621,mobile,ended,22.0,
622,connect,ended,101.0,0.0
623,connect,canceled,,
624,connect,ended,-90.0,
625,mobile,ended,21.0,
627,mobile,ended,30.0,
628,connect,canceled,,
629,mobile,ended,,
630,mobile,canceled,,
631,mobile,ended,,
632,mobile,ended,58.0,
633,mobile,canceled,,
634,mobile,ended,-12.0,
635,mobile,ended,,
636,mobile,ended,,
637,connect,canceled,,210.0
638,mobile,ended,43.0,360.0
639,mobile,ended,,
640,mobile,ended,,
641,connect,ended,-19.0,
642,mobile,ended,90.0,
643,mobile,ended,67.0,
644,connect,ended,-173.0,630.0
645,mobile,ended,-685.0,
646,mobile,ended,76.0,
647,connect,ended,-55.0,60.0
648,mobile,ended,-81.0,
649,mobile,ended,14.0,
650,mobile,canceled,,
651,connect,ended,-17.0,120.0
652,connect,ended,-90.0,
653,mobile,ended,21.0,
654,mobile,ended,12.0,
655,mobile,ended,1101.0,
656,mobile,ended,-9.0,
657,mobile,ended,-1.0,
658,mobile,ended,-15.0,
659,mobile,ended,28.0,
660,mobile,ended,-26.0,
661,mobile,ended,-24.0,
662,mobile,ended,110.0,
663,connect,canceled,,
664,mobile,ended,1360.0,
665,mobile,canceled,,
666,mobile,ended,42.0,
667,mobile,canceled,,
668,mobile,ended,,
669,mobile,canceled,,720.0
670,mobile,ended,-238.0,
671,connect,canceled,,
672,mobile,ended,89.0,
673,mobile,canceled,,
674,mobile,canceled,,
675,connect,ended,-22.0,
676,connect,canceled,,
677,mobile,ended,694.0,
678,connect,ended,183.0,510.0
679,connect,ended,119.0,
680,mobile,canceled,,
681,mobile,canceled,,
682,mobile,ended,-70.0,
683,mobile,ended,22.0,
684,mobile,ended,42.0,
685,connect,ended,-73.0,
686,mobile,ended,-65.0,
687,mobile,ended,6.0,
688,mobile,ended,-746.0,
689,mobile,canceled,,
690,mobile,ended,9.0,
691,mobile,ended,,
692,mobile,ended,-5.0,
693,mobile,ended,-191.0,
694,connect,ended,-60.0,210.0
695,mobile,canceled,,
696,mobile,canceled,,
697,mobile,ended,6.0,0.0
698,connect,ended,-53.0,480.0
699,connect,ended,-104.0,
700,mobile,canceled,,
702,mobile,ended,16.0,
703,mobile,ended,7.0,
704,connect,ended,28.0,
705,mobile,ended,14.0,
706,mobile,ended,-10.0,
707,connect,canceled,,
708,mobile,ended,-1.0,
709,connect,ended,-11.0,
710,mobile,ended,248.0,
711,connect,ended,-157.0,
712,mobile,ended,-38.0,
713,connect,canceled,,
714,mobile,ended,,
715,mobile,ended,-95.0,
716,connect,ended,203.0,
717,mobile,ended,,
718,mobile,ended,-33.0,
719,mobile,ended,-36.0,
720,mobile,canceled,,
721,mobile,canceled,,
722,connect,canceled,,
723,connect,canceled,,
724,mobile,ended,33.0,
725,mobile,canceled,,
726,mobile,ended,33.0,
727,connect,ended,26.0,
728,mobile,canceled,,
729,mobile,ended,4.0,120.0
730,mobile,ended,,
731,connect,ended,26.0,
732,mobile,ended,-25.0,
733,connect,ended,-174.0,
734,connect,canceled,,
735,mobile,ended,110.0,0.0
736,mobile,ended,-129.0,720.0
737,connect,ended,62.0,
738,mobile,canceled,,
739,mobile,ended,-2.0,
740,connect,ended,-60.0,
741,mobile,ended,,
742,mobile,ended,159.0,
743,mobile,canceled,,
744,mobile,ended,-67.0,
745,mobile,ended,98.0,
746,mobile,ended,-51.0,
747,mobile,ended,-105.0,
748,mobile,ended,-58.0,
749,mobile,ended,,
750,mobile,ended,-14.0,
751,mobile,ended,-98.0,
752,mobile,canceled,,
753,mobile,ended,,
754,connect,ended,-8.0,
755,mobile,canceled,,
756,mobile,ended,,
757,mobile,ended,-234.0,
758,mobile,ended,379.0,
759,connect,ended,-24.0,
760,mobile,ended,69.0,
761,mobile,ended,-17.0,
762,mobile,canceled,,
763,mobile,ended,-7.0,
764,mobile,ended,610.0,
765,mobile,ended,3.0,
766,mobile,ended,102.0,
767,mobile,ended,-179.0,
768,mobile,ended,28.0,
769,mobile,ended,,
770,connect,canceled,,
771,mobile,ended,81.0,
772,mobile,ended,-1.0,
773,mobile,ended,3.0,
774,mobile,ended,747.0,
775,mobile,ended,8.0,
776,mobile,ended,614.0,
777,mobile,ended,4.0,
778,mobile,ended,,
779,mobile,canceled,,
780,mobile,ended,28.0,
781,mobile,ended,5.0,
782,connect,ended,69.0,
783,connect,ended,3.0,
784,mobile,ended,,
785,connect,ended,-223.0,
786,connect,ended,-87.0,
787,mobile,ended,870.0,
788,mobile,canceled,,
789,connect,ended,-120.0,
790,mobile,canceled,,
791,connect,ended,113.0,540.0
792,mobile,ended,,
793,mobile,ended,47.0,
794,mobile,ended,78.0,
795,connect,canceled,,
796,mobile,ended,-10.0,
797,mobile,ended,147.0,
798,mobile,ended,458.0,
799,mobile,canceled,,
800,mobile,ended,166.0,
801,mobile,canceled,,
802,mobile,ended,160.0,
804,mobile,canceled,,
805,mobile,canceled,,
806,mobile,ended,20.0,
807,mobile,ended,,
808,connect,ended,,
809,mobile,ended,12.0,
810,mobile,ended,0.0,
811,mobile,ended,15.0,
812,mobile,ended,-761.0,
813,mobile,ended,21.0,
814,mobile,ended,-117.0,
815,mobile,ended,-2.0,
816,mobile,ended,1357.0,
817,connect,ended,7.0,
818,connect,ended,3.0,
819,mobile,canceled,,
820,connect,ended,-125.0,
821,mobile,ended,35.0,
822,mobile,canceled,,
823,mobile,ended,,
824,mobile,ended,31.0,180.0
825,mobile,ended,-159.0,
826,mobile,ended,32.0,
827,mobile,ended,130.0,
828,mobile,ended,-25.0,
829,mobile,ended,12.0,
830,mobile,ended,14.0,
831,mobile,canceled,,
832,connect,ended,-94.0,
833,mobile,canceled,,
834,mobile,ended,,
835,mobile,ended,224.0,
836,mobile,ended,-6.0,
837,mobile,ended,,
838,mobile,ended,57.0,
839,mobile,ended,628.0,
840,mobile,ended,,
841,mobile,ended,661.0,
842,mobile,ended,113.0,
843,mobile,ended,69.0,
844,connect,ended,-166.0,0.0
845,mobile,ended,-26.0,
846,connect,ended,-37.0,
847,mobile,ended,67.0,
848,mobile,canceled,,
849,mobile,ended,19.0,
850,mobile,ended,-2.0,
851,mobile,ended,18.0,
852,connect,ended,21.0,
853,mobile,ended,-477.0,
854,mobile,ended,74.0,
855,connect,ended,-180.0,
856,mobile,ended,,
857,mobile,ended,-18.0,
858,mobile,ended,15.0,
859,connect,ended,35.0,
860,mobile,ended,4.0,
861,connect,ended,54.0,
862,mobile,ended,61.0,
863,mobile,ended,147.0,
864,mobile,ended,25.0,90.0
865,connect,ended,-117.0,
866,mobile,ended,117.0,
867,mobile,canceled,,
868,mobile,ended,170.0,
869,mobile,ended,-199.0,
870,mobile,ended,64.0,
871,mobile,ended,-227.0,
872,connect,ended,23.0,
873,mobile,ended,20.0,
874,mobile,canceled,,
875,mobile,ended,5.0,
876,connect,ended,28.0,
877,mobile,ended,-25.0,
878,mobile,ended,-29.0,
879,mobile,ended,-230.0,
880,mobile,ended,-113.0,
881,mobile,ended,-6.0,
882,mobile,ended,-1.0,
883,mobile,canceled,,
884,connect,ended,-249.0,
885,mobile,ended,17.0,
886,mobile,ended,-31.0,
887,connect,ended,51.0,
888,mobile,ended,-4.0,
889,mobile,ended,,
890,mobile,ended,88.0,
891,mobile,ended,146.0,
892,mobile,ended,-50.0,
893,mobile,ended,,
894,mobile,ended,2.0,
895,mobile,ended,179.0,
896,connect,ended,108.0,
897,mobile,canceled,,
898,mobile,ended,13.0,
899,mobile,ended,,
900,mobile,ended,-33.0,
901,mobile,ended,19.0,
902,mobile,ended,41.0,
903,connect,ended,28.0,
904,mobile,ended,35.0,
905,mobile,canceled,,
906,connect,ended,-281.0,
907,mobile,ended,-79.0,180.0
908,mobile,ended,532.0,
909,mobile,ended,30.0,
910,mobile,ended,,
911,mobile,ended,2.0,
912,mobile,ended,31.0,
913,mobile,canceled,,
914,mobile,ended,-45.0,
915,connect,ended,-8.0,
916,mobile,ended,243.0,
917,connect,ended,-346.0,
918,mobile,ended,42.0,
919,mobile,ended,34.0,
920,mobile,ended,-13.0,
921,mobile,ended,-31.0,
922,connect,ended,6.0,
923,connect,ended,-117.0,
924,mobile,canceled,,
925,mobile,ended,320.0,
926,mobile,ended,-221.0,
927,connect,canceled,,
928,mobile,ended,-7.0,
929,mobile,ended,-56.0,
930,mobile,ended,,
931,mobile,ended,-47.0,
932,mobile,ended,4.0,
933,mobile,ended,12.0,
934,mobile,ended,42.0,
935,mobile,ended,-25.0,
936,mobile,ended,9.0,
937,mobile,ended,-13.0,
938,mobile,ended,-77.0,
939,mobile,ended,25.0,
940,mobile,canceled,,
941,mobile,ended,-13.0,
942,mobile,ended,-49.0,
943,mobile,ended,10.0,
944,mobile,ended,2.0,
945,mobile,ended,,
946,mobile,ended,-107.0,
947,mobile,ended,96.0,
948,mobile,ended,-85.0,
949,mobile,ended,,
950,mobile,ended,-50.0,
951,mobile,ended,9.0,
952,mobile,canceled,,
953,connect,ended,87.0,
954,mobile,ended,,
955,mobile,ended,-442.0,
956,mobile,ended,-290.0,
957,mobile,canceled,,
958,mobile,ended,,
959,mobile,ended,7.0,
960,mobile,ended,26.0,
961,mobile,ended,-38.0,
962,connect,ended,8.0,
963,connect,ended,-116.0,
964,mobile,ended,58.0,
965,mobile,ended,,
966,mobile,ended,-29.0,600.0
967,mobile,ended,104.0,
968,mobile,ended,15.0,
969,mobile,ended,-13.0,0.0
970,mobile,ended,208.0,
971,connect,ended,1.0,
972,mobile,ended,,
973,connect,ended,89.0,
974,mobile,canceled,,
975,mobile,ended,-14.0,
976,connect,ended,10.0,
977,connect,ended,-570.0,
978,mobile,ended,-81.0,
979,mobile,ended,182.0,
980,connect,ended,6.0,570.0
981,mobile,ended,370.0,
982,mobile,ended,126.0,
983,connect,ended,-114.0,
984,mobile,ended,73.0,
985,mobile,ended,8.0,
987,mobile,ended,-91.0,
988,mobile,ended,44.0,
989,mobile,canceled,,
990,connect,canceled,,
991,mobile,canceled,,
992,mobile,ended,124.0,
993,mobile,ended,,
994,mobile,ended,-58.0,
995,mobile,ended,8.0,
996,mobile,ended,78.0,
997,mobile,ended,49.0,
998,mobile,canceled,,
999,mobile,ended,-13.0,
1000,mobile,ended,97.0,270.0
1002,connect,canceled,,150.0
1003,mobile,canceled,,
1004,mobile,ended,,
1005,mobile,ended,-1.0,
1006,mobile,ended,,
1007,connect,ended,245.0,
1008,connect,ended,-308.0,540.0
